2026-04-05 21:30:00 | memory_index.py::k1 | 1.6 | acc: 11.0% → 9.0% | MRR: n/a | DISCARDED
2026-04-05 21:40:00 | memory_index.py::k1 | 1.4 | acc: 11.0% → 9.0% | MRR: n/a | DISCARDED
2026-04-05 21:50:00 | arcane_retriever.py::temporal_weight | 1.5 | acc: 11.0% → 10.0% | MRR: n/a | DISCARDED
2026-04-05 22:00:00 | arcane_retriever.py::entity_weight | 1.5 | acc: 11.0% → 10.0% | MRR: n/a | DISCARDED
2026-04-05 22:10:00 | arcane_retriever.py::RRF_K | 30 | acc: 11.0% → 11.0% | MRR: n/a | DISCARDED
2026-04-05 22:20:00 | arcane_retriever.py::bm25_weight | 1.5 | acc: 11.0% → 11.0% | MRR: n/a | DISCARDED
2026-04-05 22:30:00 | arcane_retriever.py::session_weight | 1.5 | acc: 11.0% → 12.0% | MRR: n/a | KEPT
2026-04-05 22:40:00 | arcane_retriever.py::session_weight | 2.0 | acc: 12.0% → 13.0% | MRR: n/a | KEPT
2026-04-05 22:50:00 | arcane_retriever.py::session_weight | 2.5 | acc: 13.0% → 11.0% | MRR: n/a | DISCARDED
2026-04-05 23:00:00 | arcane_retriever.py::temporal_weight | 1.2 | acc: 13.0% → 10.0% | MRR: n/a | DISCARDED
2026-04-05 23:10:00 | arcane_retriever.py::RRF_K | 100 | acc: 13.0% → ? | MRR: n/a | ...
2026-04-05 23:20:00 | arcane_retriever.py::RRF_K | 100 | acc: 13.0% → 10.0% | MRR: n/a | DISCARDED
2026-04-05 23:30:00 | fact_decomposer.py::BM25 | True | acc: 13.0% → 9.0% | MRR: n/a | DISCARDED
2026-04-05 23:40:00 | multiple | channels | acc: 13.0% → 11.0% | MRR: n/a | DISCARDED
2026-04-05 23:50:00 | arcane_retriever.py::dated_count_threshold | 3 | acc: 13.0% → 11.0% | MRR: n/a | DISCARDED
2026-04-06 00:00:00 | arcane_retriever.py::sessions_threshold | 3 | acc: 13.0% → 11.0% | MRR: n/a | DISCARDED
